deactivationReason,createdAt,code,jurisdiction,description,active,source,deactivatedAt,type,category,presentationOrder,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"","2026-05-24T19:31:22.974Z","SKU-SAAS","*","Abonnements SaaS memberships","true","D-060","","SKU","MOTEUR_ECONOMIQUE","2","2026-05-24T19:31:22.974Z","6a13520b1f6fd7e768ffde3a","2026-05-24T19:31:23.243000","2026-05-24T19:31:23.243000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:22.818Z","SKU-COURTAGE","*","Courtage événementiel — flux principal MR","true","D-060","","SKU","MOTEUR_ECONOMIQUE","1","2026-05-24T19:31:22.818Z","6a13520b44ed87c5e03fe9f8","2026-05-24T19:31:23.085000","2026-05-24T19:31:23.085000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:22.684Z","7990","*","Produits exceptionnels / non récurrents","true","D-060","","ACCOUNT","AUTRE_PRODUIT","143","2026-05-24T19:31:22.684Z","6a13520a0d0613fdb0b41e4f","2026-05-24T19:31:22.943000","2026-05-24T19:31:22.943000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:22.536Z","7910","*","Revenus d'intérêts","true","D-060","","ACCOUNT","AUTRE_PRODUIT","142","2026-05-24T19:31:22.536Z","6a13520afeeefc66f165b149","2026-05-24T19:31:22.798000","2026-05-24T19:31:22.798000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:22.385Z","7630","*","COGS post-production événementielle","true","D-060","","ACCOUNT","CHARGE_PRODUCTION","141","2026-05-24T19:31:22.385Z","6a13520ae01f91b67e3b0490","2026-05-24T19:31:22.648000","2026-05-24T19:31:22.648000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:22.186Z","7620","*","COGS production événementielle","true","D-060","","ACCOUNT","CHARGE_PRODUCTION","140","2026-05-24T19:31:22.186Z","6a13520a5a5cc9e27b56bfc1","2026-05-24T19:31:22.494000","2026-05-24T19:31:22.494000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:22.020Z","7610","*","COGS pré-production événementielle","true","D-060","","ACCOUNT","CHARGE_PRODUCTION","139","2026-05-24T19:31:22.020Z","6a13520aab6c21b2ed7c3e22","2026-05-24T19:31:22.302000","2026-05-24T19:31:22.302000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:21.861Z","7590","*","Remboursements commandites / activation commanditaire (contre-revenu)","true","D-060","","ACCOUNT","REVENU_COMMANDITE","138","2026-05-24T19:31:21.861Z","6a13520a20382a6c71162eb6","2026-05-24T19:31:22.136000","2026-05-24T19:31:22.136000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:21.696Z","7520","*","Revenus commandites annulées / livrables partiels selon policy","true","D-060","","ACCOUNT","REVENU_COMMANDITE","137","2026-05-24T19:31:21.696Z","6a135209339b9cebb148673e","2026-05-24T19:31:21.977000","2026-05-24T19:31:21.977000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:21.477Z","7515","*","Revenus d'activation commanditaire / publicité","true","D-060","","ACCOUNT","REVENU_COMMANDITE","136","2026-05-24T19:31:21.477Z","6a135209e17dbf6087ece6ec","2026-05-24T19:31:21.807000","2026-05-24T19:31:21.807000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:21.323Z","7510","*","Revenus de commandites","true","D-060","","ACCOUNT","REVENU_COMMANDITE","135","2026-05-24T19:31:21.323Z","6a135209e1428d4380448a07","2026-05-24T19:31:21.594000","2026-05-24T19:31:21.594000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:21.184Z","7490","*","Remboursements billetterie Micro Rave (contre-revenu)","true","D-060","","ACCOUNT","REVENU_BILLETTERIE","134","2026-05-24T19:31:21.184Z","6a1352098ae3cbd8ee034e82","2026-05-24T19:31:21.449000","2026-05-24T19:31:21.449000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:21.030Z","7420","*","Revenus billetterie annulée / non remboursable selon policy","true","D-060","","ACCOUNT","REVENU_BILLETTERIE","133","2026-05-24T19:31:21.030Z","6a13520970473b198b3e163a","2026-05-24T19:31:21.300000","2026-05-24T19:31:21.300000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:20.871Z","7415","*","Frais de service billetterie - événements transigés","true","D-060","","ACCOUNT","REVENU_BILLETTERIE","132","2026-05-24T19:31:20.871Z","6a135209ad307fdf0ae07f50","2026-05-24T19:31:21.146000","2026-05-24T19:31:21.146000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:20.683Z","7410","*","Revenus Billetterie Événements Micro Rave","true","D-060","","ACCOUNT","REVENU_BILLETTERIE","131","2026-05-24T19:31:20.683Z","6a13520802bd80d1d729b9ca","2026-05-24T19:31:20.992000","2026-05-24T19:31:20.992000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:20.546Z","7320","*","Revenus Ristourne Alcool Vendues","true","D-060","","ACCOUNT","REVENU_PRODUCTION","130","2026-05-24T19:31:20.546Z","6a135208e5cceb861e866701","2026-05-24T19:31:20.804000","2026-05-24T19:31:20.804000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:20.397Z","7290","*","Remboursements abonnements SaaS (contre-revenu)","true","D-060","","ACCOUNT","REVENU_SAAS","129","2026-05-24T19:31:20.397Z","6a13520874daab5cde4f212b","2026-05-24T19:31:20.661000","2026-05-24T19:31:20.661000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:20.206Z","7280","*","Revenus SaaS autres / legacy","true","D-060","","ACCOUNT","REVENU_SAAS","128","2026-05-24T19:31:20.206Z","6a1352086abde91b9916b4eb","2026-05-24T19:31:20.518000","2026-05-24T19:31:20.518000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:20.066Z","7240","*","Revenus SaaS reconnus — Plan Fondateur","true","D-060","","ACCOUNT","REVENU_SAAS","127","2026-05-24T19:31:20.066Z","6a1352085478410d78630a89","2026-05-24T19:31:20.328000","2026-05-24T19:31:20.328000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:19.895Z","7230","*","Revenus SaaS reconnus — Plan Studio","true","D-060","","ACCOUNT","REVENU_SAAS","126","2026-05-24T19:31:19.895Z","6a13520840fb5be5829e615d","2026-05-24T19:31:20.190000","2026-05-24T19:31:20.190000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:19.692Z","7220","*","Revenus SaaS reconnus — Plan Pro","true","D-060","","ACCOUNT","REVENU_SAAS","125","2026-05-24T19:31:19.692Z","6a1352080034afc79fa0b835","2026-05-24T19:31:20.010000","2026-05-24T19:31:20.010000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:19.505Z","7210","*","Revenus SaaS reconnus — Plan Base","true","D-060","","ACCOUNT","REVENU_SAAS","124","2026-05-24T19:31:19.505Z","6a135207e22c197f736984e1","2026-05-24T19:31:19.808000","2026-05-24T19:31:19.808000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:19.348Z","7190","*","Remboursements / renversements courtage événementiel (contre-revenu)","true","D-060","","ACCOUNT","REVENU_COURTAGE","123","2026-05-24T19:31:19.348Z","6a1352076abde91b9916b4ea","2026-05-24T19:31:19.625000","2026-05-24T19:31:19.625000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:19.181Z","7130","*","Revenus d'ajustement (suppléments, demandes complémentaires)","true","D-060","","ACCOUNT","REVENU_COURTAGE","122","2026-05-24T19:31:19.181Z","6a135207d6603803573aa239","2026-05-24T19:31:19.467000","2026-05-24T19:31:19.467000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:19.018Z","7120","*","Commissions sur events annulés (balance J-7 retenue)","true","D-060","","ACCOUNT","REVENU_COURTAGE","121","2026-05-24T19:31:19.018Z","6a135207339b9cebb148673c","2026-05-24T19:31:19.290000","2026-05-24T19:31:19.290000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:18.866Z","7110","*","Commissions sur events complétés","true","D-060","","ACCOUNT","REVENU_COURTAGE","120","2026-05-24T19:31:18.866Z","6a13520753159bc49c72289a","2026-05-24T19:31:19.140000","2026-05-24T19:31:19.140000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:18.693Z","6690","*","Charges fiscales absorbées — Doctrine Principal (usage restreint, voir D-060-B)","true","D-060-B","","ACCOUNT","CHARGE_NON_RECURRENTE","119","2026-05-24T19:31:18.693Z","6a135206f4eba1df929f5aa7","2026-05-24T19:31:18.985000","2026-05-24T19:31:18.985000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:18.556Z","6610","*","Charge d'impôts sur le résultat","true","D-060","","ACCOUNT","CHARGE_IMPOT","118","2026-05-24T19:31:18.556Z","6a13520634bc50bbfd509e9c","2026-05-24T19:31:18.817000","2026-05-24T19:31:18.817000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:18.314Z","6591","*","Ajustement d'arrondi (rounding_adjustment — réconciliation mensuelle)","true","D-060","","ACCOUNT","CHARGE_FINANCIERE","117","2026-05-24T19:31:18.314Z","6a1352066cff1937adf33c90","2026-05-24T19:31:18.653000","2026-05-24T19:31:18.653000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:18.165Z","6590","*","Autres charges financières","true","D-060","","ACCOUNT","CHARGE_FINANCIERE","116","2026-05-24T19:31:18.165Z","6a13520640d14320c9c9a34c","2026-05-24T19:31:18.431000","2026-05-24T19:31:18.431000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:18.010Z","6510","*","Charges d'intérêts","true","D-060","","ACCOUNT","CHARGE_FINANCIERE","115","2026-05-24T19:31:18.010Z","6a135206416400fe329190c0","2026-05-24T19:31:18.279000","2026-05-24T19:31:18.279000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.880Z","6410","*","Dépréciation","true","D-060","","ACCOUNT","CHARGE_DEPRECIATION","114","2026-05-24T19:31:17.880Z","6a135206c2f782d5560dbc89","2026-05-24T19:31:18.130000","2026-05-24T19:31:18.130000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.744Z","6370","*","R&D (Recherche & Développement)","true","D-060","","ACCOUNT","CHARGE_RD","113","2026-05-24T19:31:17.744Z","6a135206c2a9b083718a0da2","2026-05-24T19:31:18.002000","2026-05-24T19:31:18.002000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.608Z","6330","*","Avantages sociaux","true","D-060","","ACCOUNT","CHARGE_PERSONNEL","112","2026-05-24T19:31:17.608Z","6a135205ef2f3def01c3ca22","2026-05-24T19:31:17.868000","2026-05-24T19:31:17.868000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.448Z","6320","*","Charges sociales patronales","true","D-060","","ACCOUNT","CHARGE_PERSONNEL","111","2026-05-24T19:31:17.448Z","6a135205332f6444e262d225","2026-05-24T19:31:17.723000","2026-05-24T19:31:17.723000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.284Z","6310","*","Salaires et traitements","true","D-060","","ACCOUNT","CHARGE_PERSONNEL","110","2026-05-24T19:31:17.284Z","6a135205c9264c8871d82757","2026-05-24T19:31:17.571000","2026-05-24T19:31:17.571000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.139Z","6270","*","Frais bancaires et financiers (hors Stripe)","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","106","2026-05-24T19:31:17.139Z","6a135205b27f0e42f1f2d0a0","2026-05-24T19:31:17.408000","2026-05-24T19:31:17.408000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:17.000Z","6260","*","Télécommunications et logiciels SaaS tiers","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","105","2026-05-24T19:31:17.000Z","6a13520573af452c8d086c6d","2026-05-24T19:31:17.265000","2026-05-24T19:31:17.265000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:16.866Z","6250","*","Assurances","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","104","2026-05-24T19:31:16.866Z","6a1352057e1ed91f94068eff","2026-05-24T19:31:17.127000","2026-05-24T19:31:17.127000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:16.720Z","6240","*","Honoraires professionnels","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","103","2026-05-24T19:31:16.720Z","6a135204c6e6bc05d28e3b93","2026-05-24T19:31:16.987000","2026-05-24T19:31:16.987000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:16.589Z","6230","*","Marketing et acquisition","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","102","2026-05-24T19:31:16.590Z","6a1352040987b02f22efd6d3","2026-05-24T19:31:16.838000","2026-05-24T19:31:16.838000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:16.382Z","6220","*","Frais de développement logiciel","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","101","2026-05-24T19:31:16.382Z","6a135204cfcfaeb29808da1a","2026-05-24T19:31:16.648000","2026-05-24T19:31:16.648000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:16.230Z","6210","*","Hébergement & infrastructure","true","D-060","","ACCOUNT","CHARGE_EXPLOITATION","100","2026-05-24T19:31:16.230Z","6a1352046ef72a4f023892f5","2026-05-24T19:31:16.502000","2026-05-24T19:31:16.502000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:16.036Z","6160","*","Commissions vendeurs — commandites","true","D-060","","ACCOUNT","CHARGE_VENTE","99","2026-05-24T19:31:16.036Z","6a135204244e3b2f5eb3e05c","2026-05-24T19:31:16.318000","2026-05-24T19:31:16.318000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:15.891Z","6155","*","Commissions vendeurs — billetterie","true","D-060","","ACCOUNT","CHARGE_VENTE","98","2026-05-24T19:31:15.891Z","6a135204c3df4c758fa7fc7f","2026-05-24T19:31:16.154000","2026-05-24T19:31:16.154000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:15.748Z","6150","*","Commissions vendeurs — courtage événementiel","true","D-060","","ACCOUNT","CHARGE_VENTE","97","2026-05-24T19:31:15.748Z","6a1352044639834a22363e11","2026-05-24T19:31:16.010000","2026-05-24T19:31:16.010000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:15.617Z","6140","*","Frais Stripe — remboursements absorbés","true","D-060","","ACCOUNT","CHARGE_VENTE","96","2026-05-24T19:31:15.617Z","6a1352038e794c5bf2b83205","2026-05-24T19:31:15.873000","2026-05-24T19:31:15.873000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:15.480Z","6130","*","Frais Stripe Connect — transferts talents","true","D-060","","ACCOUNT","CHARGE_VENTE","95","2026-05-24T19:31:15.480Z","6a13520388c610aed84b80e9","2026-05-24T19:31:15.739000","2026-05-24T19:31:15.739000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:15.288Z","6120","*","Frais Stripe — abonnements SaaS","true","D-060","","ACCOUNT","CHARGE_VENTE","94","2026-05-24T19:31:15.288Z","6a1352031417f138c60c41a7","2026-05-24T19:31:15.595000","2026-05-24T19:31:15.595000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:15.147Z","6119","*","Frais Stripe — écarts frais de paiement / frais processeur","true","D-060-A","","ACCOUNT","CHARGE_VENTE","93","2026-05-24T19:31:15.147Z","6a13520329f6bdf1dc757d72","2026-05-24T19:31:15.412000","2026-05-24T19:31:15.412000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.982Z","6116","*","Frais Stripe — commandites","true","D-060","","ACCOUNT","CHARGE_VENTE","92","2026-05-24T19:31:14.982Z","6a1352036ba4d29503c58ac4","2026-05-24T19:31:15.257000","2026-05-24T19:31:15.257000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.835Z","6115","*","Frais Stripe — billetterie","true","D-060","","ACCOUNT","CHARGE_VENTE","91","2026-05-24T19:31:14.835Z","6a1352037a1a9ae58a831cea","2026-05-24T19:31:15.100000","2026-05-24T19:31:15.100000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.704Z","6110","*","Frais Stripe — courtage événementiel","true","D-060","","ACCOUNT","CHARGE_VENTE","90","2026-05-24T19:31:14.704Z","6a135202359fbcf291fad2b5","2026-05-24T19:31:14.955000","2026-05-24T19:31:14.955000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.567Z","5900","*","Autres actifs courants","true","D-060","","ACCOUNT","ACTIF_COURANT","85","2026-05-24T19:31:14.567Z","6a13520240eb9e31ded1d6f0","2026-05-24T19:31:14.826000","2026-05-24T19:31:14.826000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.403Z","5500","*","Inventaire et stocks","true","D-060","","ACCOUNT","ACTIF_COURANT","84","2026-05-24T19:31:14.403Z","6a13520297cd75506b7975bd","2026-05-24T19:31:14.687000","2026-05-24T19:31:14.687000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.260Z","5400","*","Petite caisse / autres liquidités","true","D-060","","ACCOUNT","ACTIF_COURANT","83","2026-05-24T19:31:14.260Z","6a13520269d2e38d53c710c2","2026-05-24T19:31:14.525000","2026-05-24T19:31:14.525000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:14.108Z","5300","*","Compte bancaire principal (virement depuis Stripe)","true","D-060","","ACCOUNT","ACTIF_COURANT","82","2026-05-24T19:31:14.108Z","6a1352022173de35d68eaba5","2026-05-24T19:31:14.370000","2026-05-24T19:31:14.370000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:13.929Z","5200","*","Compte Stripe — en attente de règlement","true","D-060","","ACCOUNT","ACTIF_COURANT","81","2026-05-24T19:31:13.929Z","6a135202aa1102490a49730d","2026-05-24T19:31:14.229000","2026-05-24T19:31:14.229000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:13.775Z","5100","*","Compte Stripe — disponible","true","D-060","","ACCOUNT","ACTIF_COURANT","80","2026-05-24T19:31:13.775Z","6a135202b3c6f67f6e0d9c9c","2026-05-24T19:31:14.044000","2026-05-24T19:31:14.044000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:13.636Z","4690","*","Autres passifs courants","true","D-060","","ACCOUNT","PASSIF_COURANT","74","2026-05-24T19:31:13.636Z","6a135201eb78257b5ee68250","2026-05-24T19:31:13.900000","2026-05-24T19:31:13.900000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:13.372Z","4620","*","Dette LT arrivant à échéance CT","true","D-060","","ACCOUNT","PASSIF_COURANT","73","2026-05-24T19:31:13.372Z","6a135201b81bba0994232391","2026-05-24T19:31:13.760000","2026-05-24T19:31:13.760000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:13.236Z","4610","*","Dette CT (court terme)","true","D-060","","ACCOUNT","PASSIF_COURANT","72","2026-05-24T19:31:13.236Z","6a1352010db320c2dfdd75fa","2026-05-24T19:31:13.493000","2026-05-24T19:31:13.493000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:13.098Z","4520","*","Charges à payer (accrued liabilities)","true","D-060","","ACCOUNT","PASSIF_COURANT","71","2026-05-24T19:31:13.098Z","6a135201052b91ac6448ff65","2026-05-24T19:31:13.352000","2026-05-24T19:31:13.352000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:12.951Z","4510","*","Comptes fournisseurs","true","D-060","","ACCOUNT","PASSIF_COURANT","70","2026-05-24T19:31:12.952Z","6a135201edf70815db84f22a","2026-05-24T19:31:13.215000","2026-05-24T19:31:13.215000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:12.814Z","4450","*","Impôt sur le résultat à payer","true","D-060","","ACCOUNT","PASSIF_COURANT","69","2026-05-24T19:31:12.814Z","6a1352011166458c1407b40b","2026-05-24T19:31:13.071000","2026-05-24T19:31:13.071000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:12.611Z","4440","*","Autres taxes juridictionnelles à remettre","true","D-060","","ACCOUNT","PASSIF_COURANT","68","2026-05-24T19:31:12.611Z","6a1352000b60afb97fe1ea8a","2026-05-24T19:31:12.923000","2026-05-24T19:31:12.923000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:12.466Z","4430","ON-CA","HST perçue à remettre (Ontario — futur)","true","D-060","","ACCOUNT","PASSIF_COURANT","67","2026-05-24T19:31:12.466Z","6a135200ef2511d1d2f419bd","2026-05-24T19:31:12.733000","2026-05-24T19:31:12.733000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:12.286Z","4420","QC-CA","TVQ perçue à remettre — fournitures MR (RQ)","true","D-060","","ACCOUNT","PASSIF_COURANT","66","2026-05-24T19:31:12.286Z","6a135200655d88cb53980daa","2026-05-24T19:31:12.564000","2026-05-24T19:31:12.564000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:12.058Z","4410","QC-CA","TPS perçue à remettre — fournitures MR (ARC)","true","D-060","","ACCOUNT","PASSIF_COURANT","65","2026-05-24T19:31:12.058Z","6a135200df74b55bf961bd48","2026-05-24T19:31:12.403000","2026-05-24T19:31:12.403000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:11.920Z","4545","*","Revenus différés commandites","true","D-060","","ACCOUNT","PASSIF_COURANT","64","2026-05-24T19:31:11.920Z","6a135200faebf68771855a49","2026-05-24T19:31:12.180000","2026-05-24T19:31:12.180000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
