venue,createdAt,systemId,scheduledStartAt,name,organizerUserId,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"200","2026-05-25T16:46:42.846Z","EVT-QBQZTC-UVKDGF","2026-05-25T19:00","test 25 mai","6a09b5c6ace6051fecd365af","draft","6a147cf343144eb26e8e6b49","2026-05-25T16:46:43.594000","2026-05-25T16:46:43.594000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"100","2026-05-24T23:14:29.798Z","EVT-46Z836-U3KPNN","2026-10-11T12:00","test 136","6a09b5c6ace6051fecd365af","draft","6a138656c66191ea2acb651f","2026-05-24T23:14:30.645000","2026-05-24T23:14:30.645000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"100","2026-05-24T23:02:35.779Z","EVT-5MGX67-TYR37M","2026-07-01T04:01","test 131","6a09b5c6ace6051fecd365af","draft","6a13838bbe2e56dd5857718f","2026-05-24T23:02:35.995000","2026-05-24T23:02:35.995000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"100","2026-05-24T23:01:44.444Z","EVT-QJXYD9-MF4H8J","2026-09-02T03:00","test 130","6a09b5c6ace6051fecd365af","draft","6a138358a7d36abad7707f7d","2026-05-24T23:01:44.649000","2026-05-24T23:01:44.649000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"123","2026-05-24T20:35:34.746Z","EVT-MBETX8-85MJMD","2026-07-01T11:00","test 125","6a09b5c6ace6051fecd365af","draft","6a136116795b6d9438d7042b","2026-05-24T20:35:34.928000","2026-05-24T20:35:34.928000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"200","2026-05-24T20:06:52.283Z","EVT-SWVNPW-Y8D8M6","2026-06-06T11:00","test 120","6a09b5c6ace6051fecd365af","draft","6a135a5c11426752f5a16e5f","2026-05-24T20:06:52.486000","2026-05-24T20:06:52.486000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"200 stdenbis","2026-05-24T19:49:12.649Z","EVT-QBBW5D-6ZN6Z5","2026-09-08T11:00","test 111","6a09b5c6ace6051fecd365af","draft","6a1356384a3722b2bf8558cc","2026-05-24T19:49:12.822000","2026-05-24T19:49:12.822000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"200","2026-05-24T19:37:38.642Z","EVT-2KDAB7-64XLAJ","2026-09-09T09:00","test 110","6a09b5c6ace6051fecd365af","draft","6a135382fd8b00214f0b7b96","2026-05-24T19:37:38.823000","2026-05-24T19:37:38.823000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"1000","2026-05-24T18:51:45.034Z","EVT-GYST6X-8N4PD5","2026-09-01T02:10","TEST ","6a09b5c6ace6051fecd365af","draft","6a1348c1a1779976763b7991","2026-05-24T18:51:45.265000","2026-05-24T18:51:45.265000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"200 ST DENIS","2026-05-24T18:50:58.182Z","EVT-GUHYJ7-4QZUPU","2026-07-03T14:00","TEST 104","6a09b5c6ace6051fecd365af","draft","6a13489208cc3c022389fdd0","2026-05-24T18:50:58.371000","2026-05-24T18:50:58.371000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"123 ST DENIS","2026-05-24T18:43:45.644Z","EVT-63Z26K-964EDR","2026-08-01T12:00","TEST 103","6a09b5c6ace6051fecd365af","draft","6a1346e1609a6cf44cc166a8","2026-05-24T18:43:45.858000","2026-05-24T18:43:45.858000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"200 ST DENIS","2026-05-24T18:42:13.192Z","EVT-8KX8XG-48N8SQ","2026-06-01T10:00","TEST 102","6a09b5c6ace6051fecd365af","draft","6a134685d29bbd010019785c","2026-05-24T18:42:13.404000","2026-05-24T18:42:13.404000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"100 st denis","2026-05-24T15:24:11.827Z","EVT-BXLY53-PU4XPI","2026-07-07T11:00:00.000Z","test 01 - USR-NOMINAL-TALENT1","6a09b5c6ace6051fecd365af","draft","6a13181cab550788f7c18652","2026-05-24T15:24:12.065000","2026-05-24T15:24:12.065000","service_086277e1-62c9-45ba-b424-062470b7e8d0","service+086277e1-62c9-45ba-b424-062470b7e8d0@no-reply.base44.com","false"
"123 rue Test","2026-05-24T15:23:04.685Z","EVT-CMNTYL-QU899Y","2026-06-01T20:00:00.000Z","Test Event","test-org","draft","6a1317d8d35b7d1b7eba7274","2026-05-24T15:23:04.810000","2026-05-24T15:23:04.810000","service_086277e1-62c9-45ba-b424-062470b7e8d0","service+086277e1-62c9-45ba-b424-062470b7e8d0@no-reply.base44.com","false"
"Bar Le Trèfle, Montréal","2026-05-23T14:46:08.436Z","EVT-MPIGOBK2-C0RXZ5","2026-05-30T14:46:08.436Z","SC-01 Pilote — Bar Le Trèfle","USR-MPIGOAKA-S5NIIG","draft","6a11bdb091daac1d99bb1aae","2026-05-23T14:46:08.293000","2026-05-23T14:46:08.293000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
