calculationType,eventId,note,amount_cents,payoutId,roleType,recipientUserId,stripeTransferId,createdAt,basis_amount_cents,paidAt,currency,effectiveCommissionRate,status,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"percentage_post","69fa7fbc3685a1e3ae93f54f","Courtage MR-PLAN-B-2024-01 Tier B (9.0%) × SOTS 4.0 mod 1 = 9.00% = 4.5$","450","69fab74c069033ac63a35eb4","platform_fee","","","2026-05-07T12:55:26.045Z","5000","2026-05-07T12:59:55.338Z","CAD","","paid","2026-05-07T12:59:55.338Z","69fc8bc0279838bbb3bec094","2026-05-07T12:55:28.904000","2026-05-07T13:00:12.213000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69fa7fbc3685a1e3ae93f54f","Talent présent — 50$ - fee 9.00% = 45.5$ [lineup: lineup_placement, commission: live]","4550","69fab74c069033ac63a35eb4","talent_payout","69f2706d181676bbd6e82a5e","tr_1TURXBChRZW5v2uy4kDw9Ieg","2026-05-07T12:55:26.045Z","5000","2026-05-07T12:59:55.338Z","CAD","0.09","paid","2026-05-07T12:59:55.338Z","69fc8bc0c950f74aefb5a770","2026-05-07T12:55:28.700000","2026-05-07T13:00:10.782000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69fb3e06e5ec52f1e0c5d166","Courtage MR-PLAN-B-2024-01 Tier B (9.0%) × SOTS 4.0 mod 1 = 9.00% = 18$","1800","69fb4854875579e23100299d","platform_fee","","","2026-05-07T12:55:17.007Z","20000","2026-05-07T12:59:55.338Z","CAD","","paid","2026-05-07T12:59:55.338Z","69fc8bb7b51b43aad918d7bd","2026-05-07T12:55:19.927000","2026-05-07T13:00:08.942000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69fb3e06e5ec52f1e0c5d166","Talent présent — 200$ - fee 9.00% = 182$ [lineup: lineup_placement, commission: live]","18200","69fb4854875579e23100299d","talent_payout","69f2706d181676bbd6e82a5e","tr_1TURX8ChRZW5v2uyqgY6rPsM","2026-05-07T12:55:17.007Z","20000","2026-05-07T12:59:55.338Z","CAD","0.09","paid","2026-05-07T12:59:55.338Z","69fc8bb7de74766bccdae389","2026-05-07T12:55:19.768000","2026-05-07T13:00:07.571000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fb3e06e5ec52f1e0c5d166","No-show remboursé au payeur — talent 8b12ee contrat 400$ = 67.0% × salePrice 1030.47$ = 690.41$","69041","69fb4854875579e23100299d","talent_noshow_refund","","re_3TU5PHChRZW5v2uy0CDWZuJS","2026-05-07T12:55:17.007Z","40000","2026-05-07T13:48:55.131Z","CAD","","paid","2026-05-07T13:48:55.131Z","69fc8bb73652e410d63041be","2026-05-07T12:55:19.589000","2026-05-07T13:49:34.783000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fb48b390a8ae02d53a22d1","No-show remboursé au payeur — talent b01d2c contrat 100$ = 100.0% × salePrice 103.95$ = 103.95$","10395","69fbd292696805e3b5d7ba29","talent_noshow_refund","","","2026-05-07T12:55:10.007Z","10000","","CAD","","pending","2026-05-07T12:55:10.007Z","69fc8bb05032155f67480475","2026-05-07T12:55:12.100000","2026-05-07T12:55:12.100000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fb4c350e2564f3b8157566","No-show remboursé au payeur — talent b01d2c contrat 100$ = 100.0% × salePrice 103.95$ = 103.95$","10395","69fbd37b74b73780988d019d","talent_noshow_refund","","","2026-05-07T12:55:01.714Z","10000","","CAD","","pending","2026-05-07T12:55:01.714Z","69fc8ba9dc6e32cfcefa2cbf","2026-05-07T12:55:05.461000","2026-05-07T12:55:05.461000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69fb5b9b770af414e259d734","Courtage MR-PLAN-B-2024-01 Tier B (9.0%) × SOTS 4.0 mod 1 = 9.00% = 18$","1800","69fb5f3e95c46d219d0502c1","platform_fee","","","2026-05-07T12:54:52.393Z","20000","2026-05-07T12:59:55.338Z","CAD","","paid","2026-05-07T12:59:55.338Z","69fc8b9f6cf65778d4b7251e","2026-05-07T12:54:55.359000","2026-05-07T13:00:05.415000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69fb5b9b770af414e259d734","Talent présent — 200$ - fee 9.00% = 182$ [lineup: lineup_placement, commission: live]","18200","69fb5f3e95c46d219d0502c1","talent_payout","69f2706d181676bbd6e82a5e","tr_1TURX4ChRZW5v2uyOW2lTgGe","2026-05-07T12:54:52.393Z","20000","2026-05-07T12:59:55.338Z","CAD","0.09","paid","2026-05-07T12:59:55.338Z","69fc8b9fa79ae26b8427152b","2026-05-07T12:54:55.190000","2026-05-07T13:00:03.906000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fb62aa2821929a81655b71","No-show remboursé au payeur — talent b01d2c contrat 300$ = 100.0% × salePrice 320.07$ = 320.07$","32007","69fb656e7618d23508d8e486","talent_noshow_refund","","","2026-05-07T12:54:39.866Z","30000","","CAD","","pending","2026-05-07T12:54:39.866Z","69fc8b92e722f5c90b9bc66e","2026-05-07T12:54:42.220000","2026-05-07T12:54:42.220000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fb9bc0e203e66a26c73dcb","No-show remboursé au payeur — talent e82a5e contrat 200$ = 100.0% × salePrice 213.88$ = 213.88$","21388","69fb9d164484fc2a9ba03eb7","talent_noshow_refund","","","2026-05-07T12:54:10.727Z","20000","","CAD","","pending","2026-05-07T12:54:10.727Z","69fc8b75c8668d39cbfa947c","2026-05-07T12:54:13.505000","2026-05-07T12:54:13.505000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fb9d5a2679bf86f9a757c9","No-show remboursé au payeur — talent e82a5e contrat 1000$ = 100.0% × salePrice 1063.28$ = 1063.28$","106328","69fb9f3dd1c7dd9404b4c8ba","talent_noshow_refund","","","2026-05-07T12:53:37.259Z","100000","","CAD","","pending","2026-05-07T12:53:37.259Z","69fc8b535a738106d7b6356f","2026-05-07T12:53:39.794000","2026-05-07T12:53:39.794000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fba5bb30364d40c87ed8b2","No-show remboursé au payeur — talent e82a5e contrat 1000$ = 100.0% × salePrice 1063.28$ = 1063.28$","106328","69fba6ed28690ba59ef49f0d","talent_noshow_refund","","","2026-05-07T12:53:15.617Z","100000","","CAD","","pending","2026-05-07T12:53:15.617Z","69fc8b3ec4a0f42ac7b99125","2026-05-07T12:53:18.271000","2026-05-07T12:53:18.271000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69fb6c8563e27c92387e4124","Courtage annulation 5% sur part e82a5e (209.79$)","1049","69fbd325bcca9f34d83245d4","platform_fee","","","2026-05-06T23:47:50.343Z","20979","2026-05-07T12:19:41.836Z","CAD","","paid","2026-05-07T12:19:41.836Z","69fbd3293b866b26693f2ef6","2026-05-06T23:47:53.342000","2026-05-07T12:19:51.166000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69fb6c8563e27c92387e4124","Part dépôt annulation — contrat 1000$ × 100.0% = 209.79$ - fee 5% = 199.3$","19930","69fbd325bcca9f34d83245d4","talent_payout","69f2706d181676bbd6e82a5e","tr_1TUQu8ChRZW5v2uyYa33AHxL","2026-05-06T23:47:50.343Z","100000","2026-05-07T12:19:41.836Z","CAD","0.05","paid","2026-05-07T12:19:41.836Z","69fbd3295147705af7565290","2026-05-06T23:47:53.084000","2026-05-07T12:19:49.915000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69fb70c13139d8a6f69ba690","Courtage annulation 5% sur part e82a5e (105.06$)","525","69fbd2ec59a47e0846e30890","platform_fee","","","2026-05-06T23:46:52.913Z","10506","2026-05-07T12:19:41.836Z","CAD","","paid","2026-05-07T12:19:41.836Z","69fbd2f02c2a164b54b30536","2026-05-06T23:46:56.255000","2026-05-07T12:19:54.123000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69fb70c13139d8a6f69ba690","Part dépôt annulation — contrat 500$ × 100.0% = 105.06$ - fee 5% = 99.81$","9981","69fbd2ec59a47e0846e30890","talent_payout","69f2706d181676bbd6e82a5e","tr_1TUQuBChRZW5v2uyGB5HRvdE","2026-05-06T23:46:52.913Z","50000","2026-05-07T12:19:41.836Z","CAD","0.05","paid","2026-05-07T12:19:41.836Z","69fbd2efe749076ac1a1feec","2026-05-06T23:46:55.956000","2026-05-07T12:19:52.626000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f77a1c312b74a9460d126c","Courtage MR-PLAN-A-2024-01 Tier A (12.0%) × SOTS 3.9 mod 1 = 12.00% = 8.4$","840","69f7833284a5835d46eb907c","platform_fee","","","2026-05-05T19:57:15.462Z","7000","2026-05-05T20:33:35.718Z","CAD","","paid","2026-05-05T20:33:35.718Z","69fa4b9f5032a69ee8679a8b","2026-05-05T19:57:19.635000","2026-05-05T20:33:46.940000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f77a1c312b74a9460d126c","Courtage MR-PLAN-B-2024-01 Tier B (9.0%) × SOTS 3.7 mod 1 = 9.00% = 4.5$","450","69f7833284a5835d46eb907c","platform_fee","","","2026-05-05T19:57:15.462Z","5000","","CAD","","pending","2026-05-05T19:57:15.462Z","69fa4b9f705bc39c8d05aa61","2026-05-05T19:57:19.432000","2026-05-05T19:57:19.432000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f77a1c312b74a9460d126c","Talent présent — 70$ - fee 12.00% = 61.6$ [lineup: lineup_placement, commission: live]","6160","69f7833284a5835d46eb907c","talent_payout","69f2706d181676bbd6e82a5e","tr_1TTpf2ChRZW5v2uyoUaqWXUj","2026-05-05T19:57:15.462Z","7000","2026-05-05T20:33:35.718Z","CAD","0.12","paid","2026-05-05T20:33:35.718Z","69fa4b9f5d6d9755a3b41554","2026-05-05T19:57:19.265000","2026-05-05T20:33:45.674000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f77a1c312b74a9460d126c","Talent présent — 50$ - fee 9.00% = 45.5$ [lineup: lineup_placement, commission: live]","4550","69f7833284a5835d46eb907c","talent_payout","69f7701d31890c3d20e8c9d7","","2026-05-05T19:57:15.462Z","5000","","CAD","0.09","pending","2026-05-05T19:57:15.462Z","69fa4b9fbd347a908f5c8062","2026-05-05T19:57:19.097000","2026-05-05T19:57:19.097000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69f77a1c312b74a9460d126c","No-show remboursé au payeur — talent 8b12ee contrat 60$ = 33.0% × salePrice 185.98$ = 61.37$","6137","69f7833284a5835d46eb907c","talent_noshow_refund","","re_3TT38EChRZW5v2uy0W8FGTog","2026-05-05T19:57:15.462Z","6000","2026-05-07T13:48:55.131Z","CAD","","paid","2026-05-07T13:48:55.131Z","69fa4b9e68eb38a1729fc1d2","2026-05-05T19:57:18.892000","2026-05-07T13:49:41.631000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f75180ac78024b59cd0de7","Courtage MR-PLAN-A-2024-01 Tier A (12.0%) × SOTS 3.9 mod 1 = 12.00% = 20.4$","2040","69f75e790702429b2b32bb21","platform_fee","","","2026-05-05T19:56:45.381Z","17000","2026-05-05T20:33:35.718Z","CAD","","paid","2026-05-05T20:33:35.718Z","69fa4b81dcbf8ce4a87d8524","2026-05-05T19:56:49.203000","2026-05-05T20:33:49.805000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f75180ac78024b59cd0de7","Courtage MR-PLAN-A-2024-01 Tier A (12.0%) × SOTS 3.5 mod 1 = 12.00% = 4.8$","480","69f75e790702429b2b32bb21","platform_fee","","","2026-05-05T19:56:45.381Z","4000","","CAD","","pending","2026-05-05T19:56:45.381Z","69fa4b802c2a802d29e051e0","2026-05-05T19:56:48.979000","2026-05-05T19:56:48.979000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f75180ac78024b59cd0de7","Talent présent — 170$ - fee 12.00% = 149.6$ [lineup: lineup_placement, commission: live]","14960","69f75e790702429b2b32bb21","talent_payout","69f2706d181676bbd6e82a5e","tr_1TTpf5ChRZW5v2uyDBYPo9BG","2026-05-05T19:56:45.381Z","17000","2026-05-05T20:33:35.718Z","CAD","0.12","paid","2026-05-05T20:33:35.718Z","69fa4b80f347990f821f2572","2026-05-05T19:56:48.814000","2026-05-05T20:33:48.561000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f75180ac78024b59cd0de7","Talent présent — 40$ - fee 12.00% = 35.2$ [lineup: lineup_placement, commission: live]","3520","69f75e790702429b2b32bb21","talent_payout","69f62dd4479edabdf08b12ee","","2026-05-05T19:56:45.381Z","4000","","CAD","0.12","pending","2026-05-05T19:56:45.381Z","69fa4b80581914f1e9452728","2026-05-05T19:56:48.622000","2026-05-05T19:56:48.622000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f69253ae23482e8f256790","Courtage MR-PLAN-B-2024-01 Tier B (9.0%) × SOTS 4.2 mod 0.95 = 8.55% = 5.99$","599","69f6a51878357603f4737955","platform_fee","","","2026-05-05T19:56:28.979Z","7000","","CAD","","pending","2026-05-05T19:56:28.979Z","69fa4b70d3efe0e2087d2f35","2026-05-05T19:56:32.793000","2026-05-05T19:56:32.793000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f69253ae23482e8f256790","Courtage MR-PLAN-B-2024-01 Tier B (9.0%) × SOTS 3.8 mod 1 = 9.00% = 2.7$","270","69f6a51878357603f4737955","platform_fee","","","2026-05-05T19:56:28.979Z","3000","","CAD","","pending","2026-05-05T19:56:28.979Z","69fa4b70cf7d00e655b3c3cb","2026-05-05T19:56:32.604000","2026-05-05T19:56:32.604000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f69253ae23482e8f256790","Talent présent — 70$ - fee 8.55% = 64.01$ [lineup: lineup_placement, commission: live]","6401","69f6a51878357603f4737955","talent_payout","69f2739b8a9489588db01d2c","","2026-05-05T19:56:28.979Z","7000","","CAD","0.0855","pending","2026-05-05T19:56:28.979Z","69fa4b7042ce6c5e6a243a39","2026-05-05T19:56:32.434000","2026-05-05T19:56:32.434000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f69253ae23482e8f256790","Talent présent — 30$ - fee 9.00% = 27.3$ [lineup: lineup_placement, commission: live]","2730","69f6a51878357603f4737955","talent_payout","69f62cd5271164a83828fd92","","2026-05-05T19:56:28.979Z","3000","","CAD","0.09","pending","2026-05-05T19:56:28.979Z","69fa4b706a03642b449ae06a","2026-05-05T19:56:32.245000","2026-05-05T19:56:32.245000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f9059341ae2adfeef80403","Courtage MR-PLAN-A-2024-01 Tier A (12.0%) × SOTS 3.9 mod 1 = 12.00% = 12$","1200","69f91472c4fa84604e0f259b","platform_fee","","","2026-05-05T19:55:06.533Z","10000","2026-05-05T20:33:35.718Z","CAD","","paid","2026-05-05T20:33:35.718Z","69fa4b1e40464b302a3d77bb","2026-05-05T19:55:10.965000","2026-05-05T20:33:44.073000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f9059341ae2adfeef80403","Talent présent — 100$ - fee 12.00% = 88$ [lineup: lineup_placement, commission: live]","8800","69f91472c4fa84604e0f259b","talent_payout","69f2706d181676bbd6e82a5e","tr_1TTpezChRZW5v2uyY3smOp7k","2026-05-05T19:55:06.533Z","10000","2026-05-05T20:33:35.718Z","CAD","0.12","paid","2026-05-05T20:33:35.718Z","69fa4b1ee4bc2311d768c6a7","2026-05-05T19:55:10.774000","2026-05-05T20:33:42.780000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f74283836e62b5bf65c905","Courtage annulation 5% sur part e82a5e (20.75$)","104","69f74594094c4caeb62b3c76","platform_fee","","","2026-05-03T12:54:45.833Z","2075","2026-05-05T20:33:35.718Z","CAD","","paid","2026-05-05T20:33:35.718Z","69f74598899a8ccd5a2adbe7","2026-05-03T12:54:48.666000","2026-05-05T20:33:52.630000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f74283836e62b5bf65c905","Courtage annulation 5% sur part ae01ce (20.75$)","104","69f74594094c4caeb62b3c76","platform_fee","","","2026-05-03T12:54:45.833Z","2075","2026-05-05T20:33:35.718Z","CAD","","paid","2026-05-05T20:33:35.718Z","69f7459865e84049c9d03436","2026-05-03T12:54:48.471000","2026-05-05T20:33:55.425000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69f74283836e62b5bf65c905","Part dépôt annulation — contrat 100$ × 50.0% = 20.75$ - fee 5% = 19.71$","1971","69f74594094c4caeb62b3c76","talent_payout","69f2706d181676bbd6e82a5e","tr_1TTpf8ChRZW5v2uybbi865nW","2026-05-03T12:54:45.833Z","10000","2026-05-05T20:33:35.718Z","CAD","0.05","paid","2026-05-05T20:33:35.718Z","69f745982fa797e34f0c4fb1","2026-05-03T12:54:48.244000","2026-05-05T20:33:51.340000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69f74283836e62b5bf65c905","Part dépôt annulation — contrat 100$ × 50.0% = 20.75$ - fee 5% = 19.71$","1971","69f74594094c4caeb62b3c76","talent_payout","69f218c618cc26dee7ae01ce","tr_1TTpfBChRZW5v2uy72clNjAL","2026-05-03T12:54:45.833Z","10000","2026-05-05T20:33:35.718Z","CAD","0.05","paid","2026-05-05T20:33:35.718Z","69f745985267dafa8fc8961c","2026-05-03T12:54:48.065000","2026-05-05T20:33:54.157000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f6261577278f600ed8ca2e","Courtage MR-PLAN-A-2024-01 Tier A (12.0%) × SOTS 4.0 mod 0.95 = 11.40% = 17.1$","1710","69f67b1822d2d3720940e78b","platform_fee","","","2026-05-02T23:49:53.311Z","15000","2026-05-05T20:33:35.718Z","CAD","","paid","2026-05-05T20:33:35.718Z","69f68da358d901072acc5b07","2026-05-02T23:49:55.019000","2026-05-05T20:33:58.113000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"contract_amount","69f6261577278f600ed8ca2e","Talent présent — 150$ - fee 11.40% = 132.9$ [lineup: lineup_placement, commission: live]","13290","69f67b1822d2d3720940e78b","talent_payout","69f2706d181676bbd6e82a5e","tr_1TTpfEChRZW5v2uynPFYg8K6","2026-05-02T23:49:53.311Z","15000","2026-05-05T20:33:35.718Z","CAD","0.114","paid","2026-05-05T20:33:35.718Z","69f68da26a307720f7695787","2026-05-02T23:49:54.847000","2026-05-05T20:33:56.882000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
