evaluatorWeightSnapshot,sessionStyleSystemIds,wouldRecommend,evaluatorStyleSystemIds,scoreWeighted,sessionType,fairnessResourcefulness,communication,sotsBreakdown,evaluatorRoleSystemId,evaluatorUserId,roleSystemId,targetId,sessionRoleSystemId,sessionCheckpointSystemId,sessionTags,funWork,targetType,sessionId,toxicityAvoidance,tags,attitudePositivity,sessionStyleSystemId,styleSystemIds,checkpointSystemId,scoreRaw,comment,id,created_date,updated_date,created_by_id,created_by,is_sample
"7.7166","[]","true","[]","7.7166","event","1","1","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000003","69f2739b8a9489588db01d2c","RL-000003","NC-0000000165","[""RL-000003"",""NC-0000000165""]","1","user","69fb48b5d135886933200c9f","1","[]","1","","[]","NC-0000000165","1","","69fbd29ce257750753917e1f","2026-05-06T23:45:32.786000","2026-05-06T23:45:32.786000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.3588","[]","false","[]","22.0764","event","3","3","","RL-000001","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000097","[""RL-ORGANIZER"",""NC-0000000097""]","3","user","69fb9bc15beeb1df6b276714","3","[]","3","","[]","NC-0000000097","3","","69fb9d28bef38f260662c3bc","2026-05-06T19:57:28.588000","2026-05-06T19:57:28.588000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.346","[]","true","[]","36.73","event","5","5","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f2706d181676bbd6e82a5e","RL-000001","NC-0000000097","[""RL-000001"",""NC-0000000097""]","5","user","69fb9bc15beeb1df6b276714","5","[]","5","","[]","NC-0000000097","5","","69fb9d21362a806c67d7c3e8","2026-05-06T19:57:21.616000","2026-05-06T19:57:21.616000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3026","[]","true","[]","2.3026","event","1","1","","RL-000002","69f2739b8a9489588db01d2c","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","","[""RL-ORGANIZER""]","1","user","69fb62ac23d082847ccfbca7","1","[]","1","","[]","","1","","69fb6583a655175809095599","2026-05-06T16:00:03.108000","2026-05-06T16:00:03.108000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.2226","[]","true","[]","15.8897","event","2","1","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000002","69f2739b8a9489588db01d2c","RL-000002","","[""RL-000002""]","4","user","69fb62ac23d082847ccfbca7","3","[]","1","","[]","","2.2","","69fb657eead7bd11d21cc866","2026-05-06T15:59:58.400000","2026-05-06T15:59:58.400000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.2226","[]","true","[]","20.2233","event","5","1","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000003","69f2706d181676bbd6e82a5e","RL-000003","NC-0000000097","[""RL-000003"",""NC-0000000097""]","3","user","69fb5b9ddd37ce78fda74ff6","4","[]","1","","[]","NC-0000000097","2.8","","69fb5f4c55667f98ad470547","2026-05-06T15:33:32.431000","2026-05-06T15:33:32.431000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3947","[""ST-000134"",""ST-000184""]","true","[]","8.142","event","4","2","","RL-AUDIENCE","69f2739b8a9489588db01d2c","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""ST-000134"",""ST-000184"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","3","[]","3","ST-000134","[""ST-000134"",""ST-000184""]","NC-0000000165","3.4","","69fb487a41730dc0c22a42aa","2026-05-06T13:56:10.995000","2026-05-06T13:56:10.995000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3947","[""ST-000184""]","true","[]","8.142","event","4","2","","RL-AUDIENCE","69f2739b8a9489588db01d2c","RL-000005","69f2706d181676bbd6e82a5e","RL-000005","NC-0000000165","[""RL-000005"",""ST-000184"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","3","[]","3","ST-000184","[""ST-000184""]","NC-0000000165","3.4","","69fb487a610eddb004e36441","2026-05-06T13:56:10.796000","2026-05-06T13:56:10.796000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3947","[""ST-000134""]","true","[]","8.142","event","4","2","","RL-AUDIENCE","69f2739b8a9489588db01d2c","RL-000001","69f62dd4479edabdf08b12ee","RL-000001","NC-0000000165","[""RL-000001"",""ST-000134"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","3","[]","3","ST-000134","[""ST-000134""]","NC-0000000165","3.4","","69fb487a927a73f3bc3bb912","2026-05-06T13:56:10.570000","2026-05-06T13:56:10.570000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.365","[""ST-000184""]","true","[""ST-000134"",""ST-000184""]","36.825","event","5","5","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000005","69f2706d181676bbd6e82a5e","RL-000005","NC-0000000165","[""RL-000005"",""ST-000184"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","5","[]","5","ST-000184","[""ST-000184""]","NC-0000000165","5","","69fb4866ae4ae3eab4765c26","2026-05-06T13:55:50.101000","2026-05-06T13:55:50.101000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.365","[""ST-000134""]","true","[""ST-000134"",""ST-000184""]","36.825","event","5","5","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f62dd4479edabdf08b12ee","RL-000001","NC-0000000165","[""RL-000001"",""ST-000134"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","5","[]","5","ST-000134","[""ST-000134""]","NC-0000000165","5","","69fb486542c9f85da74bf6ad","2026-05-06T13:55:49.979000","2026-05-06T13:55:49.979000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.1944","[""ST-000134"",""ST-000184""]","true","[""ST-000184""]","34.5331","event","5","5","","RL-000005","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""ST-000134"",""ST-000184"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","4","[]","5","ST-000134","[""ST-000134"",""ST-000184""]","NC-0000000165","4.8","","69fb485fc87faea4a6423a94","2026-05-06T13:55:43.691000","2026-05-06T13:55:43.691000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.1944","[""ST-000134""]","true","[""ST-000184""]","34.5331","event","5","5","","RL-000005","69f2706d181676bbd6e82a5e","RL-000001","69f62dd4479edabdf08b12ee","RL-000001","NC-0000000165","[""RL-000001"",""ST-000134"",""NC-0000000165""]","5","user","69fb3e083034fe9978e9761d","4","[]","5","ST-000134","[""ST-000134""]","NC-0000000165","4.8","","69fb485fefe06b45f94557c6","2026-05-06T13:55:43.471000","2026-05-06T13:55:43.471000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"5.1108","[]","true","[]","21.4654","event","5","5","","RL-AUDIENCE","69f62dd4479edabdf08b12ee","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","3","user","69fa7fbdc41ed8087c4392f3","4","[]","4","","[]","NC-0000000165","4.2","","69fab761326940b6574b8c8a","2026-05-06T03:37:05.724000","2026-05-06T03:37:05.724000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"5.1108","[]","true","[]","21.4654","event","5","5","","RL-AUDIENCE","69f62dd4479edabdf08b12ee","RL-000003","69f2706d181676bbd6e82a5e","RL-000003","NC-0000000165","[""RL-000003"",""NC-0000000165""]","3","user","69fa7fbdc41ed8087c4392f3","4","[]","4","","[]","NC-0000000165","4.2","","69fab76191194ff3b4d4ff80","2026-05-06T03:37:05.460000","2026-05-06T03:37:05.460000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.0761","[]","true","[]","26.8892","event","5","3","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000003","69f2706d181676bbd6e82a5e","RL-000003","NC-0000000165","[""RL-000003"",""NC-0000000165""]","4","user","69fa7fbdc41ed8087c4392f3","3","[]","4","","[]","NC-0000000165","3.8","","69fab75a365e9c6fc41c6caf","2026-05-06T03:36:58.014000","2026-05-06T03:36:58.014000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.7685","[]","true","[]","28.4277","event","4","4","","RL-000003","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","3","user","69f9059418c71b10d6b34f63","5","[]","5","","[]","NC-0000000165","4.2","","69f914e3fa29b43f13def5a6","2026-05-04T21:51:31.510000","2026-05-04T21:51:31.510000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","24.9481","event","5","4","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000003","69f2706d181676bbd6e82a5e","RL-000003","NC-0000000165","[""RL-000003"",""NC-0000000165""]","4","user","69f9059418c71b10d6b34f63","3","[]","3","","[]","NC-0000000165","3.8","","69f914c818c71b10d6b3589c","2026-05-04T21:51:04.060000","2026-05-04T21:51:04.060000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","21.009","event","5","2","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f2706d181676bbd6e82a5e","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","4","user","69f77a1da63e0c7d0ef141e3","3","[]","2","","[]","NC-0000000165","3.2","","69f7a98d276db2678ec9b2d2","2026-05-03T20:01:17.046000","2026-05-03T20:01:17.046000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","21.009","event","5","2","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000005","69f62dd4479edabdf08b12ee","RL-000005","NC-0000000165","[""RL-000005"",""NC-0000000165""]","4","user","69f77a1da63e0c7d0ef141e3","3","[]","2","","[]","NC-0000000165","3.2","","69f7a98c33ce89d66bc8ab33","2026-05-03T20:01:16.893000","2026-05-03T20:01:16.893000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","21.009","event","5","2","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f7701d31890c3d20e8c9d7","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","4","user","69f77a1da63e0c7d0ef141e3","3","[]","2","","[]","NC-0000000165","3.2","","69f7a98c5f3534516e25f3b9","2026-05-03T20:01:16.648000","2026-05-03T20:01:16.648000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3026","[]","true","[]","9.2104","event","4","3","","RL-000001","69f7701d31890c3d20e8c9d7","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","3","user","69f77a1da63e0c7d0ef141e3","5","[]","5","","[]","NC-0000000165","4","","69f785c3c44eaf8f9200b158","2026-05-03T17:28:35.596000","2026-05-03T17:28:35.596000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3026","[]","true","[]","9.2104","event","4","3","","RL-000001","69f7701d31890c3d20e8c9d7","RL-000001","69f2706d181676bbd6e82a5e","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","3","user","69f77a1da63e0c7d0ef141e3","5","[]","5","","[]","NC-0000000165","4","","69f785c3a8c55a4a4d78eba9","2026-05-03T17:28:35.422000","2026-05-03T17:28:35.422000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2.3026","[]","true","[]","9.2104","event","4","3","","RL-000001","69f7701d31890c3d20e8c9d7","RL-000005","69f62dd4479edabdf08b12ee","RL-000005","NC-0000000165","[""RL-000005"",""NC-0000000165""]","3","user","69f77a1da63e0c7d0ef141e3","5","[]","5","","[]","NC-0000000165","4","","69f785c34a4036d849c4595d","2026-05-03T17:28:35.239000","2026-05-03T17:28:35.239000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","26.2612","event","4","4","","RL-000001","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","4","user","69f77a1da63e0c7d0ef141e3","3","[]","5","","[]","NC-0000000165","4","","69f785bc4431a34f675072f6","2026-05-03T17:28:28.818000","2026-05-03T17:28:28.818000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","26.2612","event","4","4","","RL-000001","69f2706d181676bbd6e82a5e","RL-000005","69f62dd4479edabdf08b12ee","RL-000005","NC-0000000165","[""RL-000005"",""NC-0000000165""]","4","user","69f77a1da63e0c7d0ef141e3","3","[]","5","","[]","NC-0000000165","4","","69f785bc6bb29414a2152515","2026-05-03T17:28:28.629000","2026-05-03T17:28:28.629000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.5653","[]","true","[]","26.2612","event","4","4","","RL-000001","69f2706d181676bbd6e82a5e","RL-000001","69f7701d31890c3d20e8c9d7","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","4","user","69f77a1da63e0c7d0ef141e3","3","[]","5","","[]","NC-0000000165","4","","69f785bcb428bb6fcd16c711","2026-05-03T17:28:28.448000","2026-05-03T17:28:28.448000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.3456","[]","true","[]","24.1133","event","5","4","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f2706d181676bbd6e82a5e","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","3","user","69f77a1da63e0c7d0ef141e3","4","[]","3","","[]","NC-0000000165","3.8","","69f785bc9dde1d5dcbd48e41","2026-05-03T17:28:28.205000","2026-05-03T17:28:28.205000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.3456","[]","true","[]","24.1133","event","5","4","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000005","69f62dd4479edabdf08b12ee","RL-000005","NC-0000000165","[""RL-000005"",""NC-0000000165""]","3","user","69f77a1da63e0c7d0ef141e3","4","[]","3","","[]","NC-0000000165","3.8","","69f785bc37db94d13193668c","2026-05-03T17:28:28.061000","2026-05-03T17:28:28.061000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.3456","[]","true","[]","24.1133","event","5","4","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f7701d31890c3d20e8c9d7","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","3","user","69f77a1da63e0c7d0ef141e3","4","[]","3","","[]","NC-0000000165","3.8","","69f785bbabc76f50785eb52d","2026-05-03T17:28:27.641000","2026-05-03T17:28:27.641000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"5.1108","[""ST-000246"",""ST-000247""]","true","[]","21.4654","event","5","3","","RL-000008","69f62dd4479edabdf08b12ee","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""ST-000246"",""ST-000247"",""NC-0000000165""]","5","user","69f751813e778879b5ffa82b","4","[]","4","ST-000246","[""ST-000246"",""ST-000247""]","NC-0000000165","4.2","","69f75e90796a1abc8ec059df","2026-05-03T14:41:20.832000","2026-05-03T14:41:20.832000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"5.1108","[""ST-000246"",""ST-000247""]","true","[]","21.4654","event","5","3","","RL-000008","69f62dd4479edabdf08b12ee","RL-000001","69f2706d181676bbd6e82a5e","RL-000001","NC-0000000165","[""RL-000001"",""ST-000246"",""ST-000247"",""NC-0000000165""]","5","user","69f751813e778879b5ffa82b","4","[]","4","ST-000246","[""ST-000246"",""ST-000247""]","NC-0000000165","4.2","","69f75e904a515fe439b43030","2026-05-03T14:41:20.648000","2026-05-03T14:41:20.648000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.1851","[""ST-000246"",""ST-000247""]","true","[""ST-000246"",""ST-000247""]","16.0813","event","4","2","","RL-000001","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""ST-000246"",""ST-000247"",""NC-0000000165""]","2","user","69f751813e778879b5ffa82b","2","[]","3","ST-000246","[""ST-000246"",""ST-000247""]","NC-0000000165","2.6","","69f75e8a530d17a82367d25c","2026-05-03T14:41:14.187000","2026-05-03T14:41:14.187000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
