uniqueTalentsCount,sotsCount,checkpointSystemId,roleSystemId,playsCount,sotsAvg,lastPlayedAt,domainKey,sotsSum,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"0","0","NC-0000000165","RL-000003","0","0","","video","0","2026-05-06T23:45:51.568Z","69f914e8814b2cec4fd88351","2026-05-04T21:51:36.853000","2026-05-06T23:45:52.410000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000165","RL-ORGANIZER","3","0","2026-05-06T13:55:29.425Z","music","0","2026-05-06T23:49:35.446Z","69f75e77313b3e04b21a563e","2026-05-03T14:40:55.105000","2026-05-06T23:49:36.483000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000165","RL-000008","2","0","2026-05-03T14:40:55.633Z","music","0","2026-05-03T14:41:26.154Z","69f75e743a5b46ffb9933d0c","2026-05-03T14:40:52.982000","2026-05-03T14:41:28.697000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000165","RL-000001","3","0","2026-05-06T13:55:24.480Z","music","0","2026-05-06T23:49:35.446Z","69f75e72e8e39192c0e1c057","2026-05-03T14:40:50.194000","2026-05-06T23:49:36.089000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000122","RL-ORGANIZER","0","0","","music","0","2026-05-02T22:19:12.046Z","69f678617b8e8d0786f7b80e","2026-05-02T22:19:13.359000","2026-05-02T22:19:13.359000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000122","RL-000001","0","0","","music","0","2026-05-02T22:19:12.046Z","69f6786088ccebaa00b5dab8","2026-05-02T22:19:12.885000","2026-05-02T22:19:12.885000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000160","RL-ORGANIZER","0","0","","video","0","2026-05-02T17:37:03.364Z","69f636403ca35dce5f64b57e","2026-05-02T17:37:04.687000","2026-05-02T17:37:04.687000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000160","RL-000003","0","0","","video","0","2026-05-02T17:37:03.364Z","69f636403ae34cbd56d90054","2026-05-02T17:37:04.231000","2026-05-02T17:37:04.231000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000025","RL-ORGANIZER","0","0","","music","0","2026-05-02T17:07:41.931Z","69f62f5ff9ed520788e3dbf8","2026-05-02T17:07:43.099000","2026-05-02T17:07:43.099000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000025","RL-000001","0","0","","music","0","2026-05-02T17:07:41.931Z","69f62f5e77278f600ed8d805","2026-05-02T17:07:42.664000","2026-05-02T17:07:42.664000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
